id,qtype,defects,action
DP-00032,0,choices_ad_mismatch|grounding_no_url,kept
DP-00017,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url|template_artifact_option,quarantine
DP-00016,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00029,0,choices_ad_mismatch|grounding_no_url,kept
DP-00001,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00002,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00041,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00047,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00024,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00005,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00034,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00025,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00045,0,choices_ad_mismatch|grounding_no_url,kept
DP-00019,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00044,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00050,0,grounding_no_url,kept
DP-00031,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00018,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00013,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00004,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00049,0,choices_ad_mismatch|grounding_no_url,kept
DP-00010,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00023,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00009,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00051,0,grounding_no_url,kept
DP-00052,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00053,0,grounding_no_url,kept
DP-00036,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url|template_artifact_option,quarantine
DP-00054,0,choices_ad_mismatch|grounding_no_url,kept
DP-00040,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00020,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00056,0,choices_ad_mismatch|grounding_no_url,kept
DP-00055,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00030,0,choices_ad_mismatch|grounding_no_url,kept
DP-00046,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00006,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url|template_artifact_option,quarantine
DP-00057,0,choices_ad_mismatch|grounding_no_url,kept
DP-00058,0,choices_ad_mismatch|grounding_no_url,kept
DP-00059,0,choices_ad_mismatch|grounding_no_url,kept
DP-00060,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00035,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00061,0,choices_ad_mismatch|grounding_no_url,kept
DP-00028,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00007,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00063,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00064,0,choices_ad_mismatch|grounding_no_url,kept
DP-00062,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url|template_artifact_option,quarantine
DP-00037,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00026,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00065,0,choices_ad_mismatch|grounding_no_url,kept
DP-00038,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url,quarantine
DP-00033,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url|template_artifact_option,quarantine
DP-00012,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00042,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00027,0,choices_ad_mismatch|grounding_no_url,kept
DP-00039,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00011,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00015,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00014,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00022,0,choices_ad_mismatch|grounding_no_url,kept
DP-00008,0,ambiguous_answer|choices_ad_mismatch|grounding_no_url|template_artifact_option,quarantine
DP-00043,0,choices_ad_mismatch|grounding_no_url,kept
DP-00003,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00048,0,choices_ad_mismatch|grounding_no_url,kept
DP-00021,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00066,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00067,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00068,0,grounding_no_url,kept
DP-00069,0,choices_ad_mismatch|grounding_no_url,kept
DP-00070,0,grounding_no_url,kept
DP-00071,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00074,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00075,0,grounding_no_url,kept
DP-00072,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00073,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00076,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00078,0,choices_ad_mismatch|grounding_no_url,kept
DP-00079,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00077,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00080,0,grounding_no_url,kept
DP-00084,0,choices_ad_mismatch|grounding_no_url,kept
DP-00081,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
DP-00082,0,choices_ad_mismatch|grounding_no_url|template_artifact_option,kept
